"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","BATCH","prolific_id","batch","realtime","success","question_order","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","slider_start"
"4656","1753876164229","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","4659","0.0-0.0","97","1","2025-07-30 11:48:39","36c45c0696341be0efffe67d72a12abb","41.144.163.63","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6745d8ba436b1416f92aa9b8","687a360dabe5252b5ada7185","6889f6b4503f2e4efdf44e0c","0","6745d8ba436b1416f92aa9b8","0","2025-07-30T11:49:24.230Z","","","","","","","","","","","","","","",""
"24971","","","","fullscreen","1","30649","0.0-1.0","97","1","2025-07-30 11:48:39","36c45c0696341be0efffe67d72a12abb","41.144.163.63","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6745d8ba436b1416f92aa9b8","687a360dabe5252b5ada7185","6889f6b4503f2e4efdf44e0c","0","6745d8ba436b1416f92aa9b8","0","","true","","","","","","","","","","","","","",""
"13123","1753876203345"," <p style='font-size:1.1em;line-height:1.25'>Thank you for closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","43775","0.0-2.0","97","1","2025-07-30 11:48:39","36c45c0696341be0efffe67d72a12abb","41.144.163.63","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6745d8ba436b1416f92aa9b8","687a360dabe5252b5ada7185","6889f6b4503f2e4efdf44e0c","0","6745d8ba436b1416f92aa9b8","0","2025-07-30T11:50:03.346Z","","","","","","","","","","","","","","",""
"6545","","","{""assigned_sex"":""female""}","survey-multi-choice","3","50326","0.0-3.0-0.0","97","1","2025-07-30 11:48:39","36c45c0696341be0efffe67d72a12abb","41.144.163.63","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6745d8ba436b1416f92aa9b8","687a360dabe5252b5ada7185","6889f6b4503f2e4efdf44e0c","0","6745d8ba436b1416f92aa9b8","0","","","[0]","0","demographics","","","","","","","","","","",""
"2138","1753876212036","<p style='font-size:1.1em;line-height:1.25'>In the following, we will perform a baseline assessment. This means that we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","52466","0.0-4.0-0.0","97","1","2025-07-30 11:48:39","36c45c0696341be0efffe67d72a12abb","41.144.163.63","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6745d8ba436b1416f92aa9b8","687a360dabe5252b5ada7185","6889f6b4503f2e4efdf44e0c","0","6745d8ba436b1416f92aa9b8","0","2025-07-30T11:50:12.037Z","","","","","","","","","","","","","","",""
"30778.70000000298","","","","survey-template","5","84154","0.0-4.0-1.0","97","1","2025-07-30 11:48:39","36c45c0696341be0efffe67d72a12abb","41.144.163.63","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6745d8ba436b1416f92aa9b8","687a360dabe5252b5ada7185","6889f6b4503f2e4efdf44e0c","0","6745d8ba436b1416f92aa9b8","0","2025-07-30T11:50:43.725Z","","","","pss","{""Q01"":""4"",""Q02"":""4"",""Q03"":""3"",""Q04"":""0"",""Q05"":""1"",""Q06"":""3"",""Q07"":""1"",""Q08"":""1"",""Q09"":""4"",""Q10"":""3""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q03"",""Q02"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10""]","[15457.79999999702,17891.79999999702,19261.90000000596,21555.79999999702,22465.70000000298,24329.70000000298,25785.70000000298,26559.60000000894,28497.60000000894,29857.79999999702]","[]","[0.20000000298023224,6806.600000008941,8623.60000000894,12576,13480.10000000894,14635.90000000596,15457.79999999702,16465.70000000298,17891.79999999702,19261.90000000596,21555.79999999702,22465.70000000298,23461.70000000298,24329.70000000298,25785.70000000298,26559.60000000894,28497.60000000894,29857.79999999702,30775.60000000894]","0.6","0.5555555555555556","0","",""
"7567","1753876251294","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","6","91723","0.0-4.0-2.0","97","1","2025-07-30 11:48:39","36c45c0696341be0efffe67d72a12abb","41.144.163.63","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6745d8ba436b1416f92aa9b8","687a360dabe5252b5ada7185","6889f6b4503f2e4efdf44e0c","0","6745d8ba436b1416f92aa9b8","0","2025-07-30T11:50:51.295Z","","","","","","","","","","","","","","",""
"83702.59999999404","","","","survey-template","7","175435","0.0-4.0-3.0","97","1","2025-07-30 11:48:39","36c45c0696341be0efffe67d72a12abb","41.144.163.63","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6745d8ba436b1416f92aa9b8","687a360dabe5252b5ada7185","6889f6b4503f2e4efdf44e0c","0","6745d8ba436b1416f92aa9b8","0","2025-07-30T11:52:15.006Z","","","","drsp","{""Q01"":""4"",""Q02"":""4"",""Q03"":""3"",""Q04"":""3"",""Q05"":""3"",""Q06"":""3"",""Q07"":""4"",""Q08"":""4"",""Q09"":""3"",""Q10"":""4"",""Q11"":""3"",""Q12"":""4"",""Q13"":""3"",""Q14"":""4"",""Q15"":""3"",""Q16"":""4"",""Q17"":""3"",""Q18"":""4"",""Q19"":""3"",""Q20"":""4"",""Q21"":""4"",""Q22"":""5""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q06"",""Q05"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[19729.29999999702,21907.39999999106,23011.29999999702,24127.19999998808,26896.79999999702,28453.19999998808,29569.19999998808,30669.29999999702,32277,33483.19999998808,35409.09999999404,36531,37892.89999999106,39674.79999999702,40812.89999999106,42874.89999999106,44052.89999999106,45154.89999999106,46680.89999999106,47728.69999998808,80222.59999999404,82358.5]","[]","[0.09999999403953552,19729.29999999702,20805.29999999702,21907.39999999106,23011.29999999702,24127.19999998808,25949.29999999702,26896.79999999702,27603.29999999702,28453.19999998808,29569.19999998808,30669.29999999702,32277,33483.19999998808,35409.09999999404,36531,37892.89999999106,39674.79999999702,40812.89999999106,42874.89999999106,44052.89999999106,45154.89999999106,46680.89999999106,47728.69999998808,80222.59999999404,82358.5,83694.89999999106]","0.5","0.7142857142857143","0","",""
"6685.5","","","","survey-template","8","182124","0.0-4.0-4.0","97","1","2025-07-30 11:48:39","36c45c0696341be0efffe67d72a12abb","41.144.163.63","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6745d8ba436b1416f92aa9b8","687a360dabe5252b5ada7185","6889f6b4503f2e4efdf44e0c","0","6745d8ba436b1416f92aa9b8","0","2025-07-30T11:52:21.695Z","","","","stress","{""Q01"":""5"",""Q02"":""1"",""Q03"":""4""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[2726.5999999940395,3762.5,4870.5]","[]","[2726.5999999940395,3762.5,4870.5,6684.29999999702]","0.6666666666666666","0.5","0","",""
"13797","","","","instructions","9","195923","0.0-5.0-0.0","97","1","2025-07-30 11:48:39","36c45c0696341be0efffe67d72a12abb","41.144.163.63","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6745d8ba436b1416f92aa9b8","687a360dabe5252b5ada7185","6889f6b4503f2e4efdf44e0c","0","6745d8ba436b1416f92aa9b8","0","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":13797}]",""
